page_id,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,stage,status
we00025,qwen2.5-vl,True,6591.0,5621.0,14.717,True,1549.0,1549.0,0.0,True,1.0,True,34.0,34.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00026,qwen2.5-vl,True,2870.0,2727.0,4.983,True,2156.0,2156.0,0.0,True,1.0,True,38.0,38.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00027,qwen2.5-vl,True,4501.0,4194.0,6.821,True,1854.0,1854.0,0.0,True,1.0,True,86.0,86.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00028,qwen2.5-vl,True,2142.0,1710.0,20.168,True,918.0,918.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00029,qwen2.5-vl,True,3422.0,3314.0,3.156,True,2223.0,2223.0,0.0,True,1.0,True,78.0,78.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00030,qwen2.5-vl,True,4391.0,4256.0,3.074,True,1773.0,1773.0,0.0,True,1.0,True,47.0,47.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00031,qwen2.5-vl,True,7592.0,6187.0,18.506,True,2970.0,2970.0,0.0,True,1.0,True,29.0,29.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00032,qwen2.5-vl,True,2560.0,2269.0,11.367,True,800.0,800.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00033,qwen2.5-vl,True,4997.0,4540.0,9.145,True,2085.0,2085.0,0.0,True,1.0,True,138.0,138.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00034,qwen2.5-vl,True,2835.0,2600.0,8.289,True,1998.0,1998.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
