page_id,source,tokens_original,base,base_path,tokens_base,status,n_blocks,n_edits_planned,n_edits_kept,oracle_calls,css_chars_before,css_chars_after,buckets,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,accepted_strict,tokens_l3
we00010,webcode2m,5063,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00010.html,4021,ok,1.0,26.0,26.0,1.0,5185.0,3310.0,"{""selector_trim"": 540, ""unmatched"": 1055, ""dead_props"": 280}",qwen2.5-vl,True,4021.0,3474.0,13.604,True,2963.0,2963.0,0.0,True,1.0,True,59.0,59.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,3474.0
we00011,webcode2m,6945,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00011.html,5492,ok,1.0,30.0,30.0,1.0,9441.0,6096.0,"{""selector_trim"": 2102, ""dead_props"": 55, ""unmatched"": 1188}",qwen2.5-vl,True,5492.0,4464.0,18.718,True,1748.0,1748.0,0.0,True,1.0,True,21.0,21.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,4464.0
we00012,webcode2m,5271,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00012.html,3077,ok,1.0,7.0,7.0,1.0,4611.0,4258.0,"{""dead_props"": 15, ""unmatched"": 338}",qwen2.5-vl,True,3077.0,2966.0,3.607,True,2185.0,2185.0,0.0,True,1.0,True,44.0,44.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2966.0
we00013,webcode2m,2593,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00013.html,2358,ok,1.0,11.0,11.0,1.0,783.0,659.0,"{""selector_trim"": 124}",qwen2.5-vl,True,2358.0,2275.0,3.52,True,1217.0,1217.0,0.0,True,1.0,True,87.0,87.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2275.0
we00014,webcode2m,8924,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00014.html,6969,ok,1.0,53.0,53.0,1.0,13035.0,9589.0,"{""selector_trim"": 1837, ""unmatched"": 1395, ""dead_props"": 214}",qwen2.5-vl,True,6969.0,5899.0,15.354,True,1735.0,1735.0,0.0,True,1.0,True,71.0,71.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,5899.0
we00015,webcode2m,7629,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00015.html,5561,ok,1.0,52.0,52.0,1.0,11584.0,8171.0,"{""selector_trim"": 1480, ""unmatched"": 1669, ""dead_props"": 264}",qwen2.5-vl,True,5561.0,4494.0,19.187,True,1823.0,1823.0,0.0,True,1.0,True,34.0,34.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,4494.0
we00016,webcode2m,5951,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00016.html,4436,ok,1.0,24.0,24.0,1.0,7015.0,5329.0,"{""selector_trim"": 809, ""dead_props"": 117, ""unmatched"": 760}",qwen2.5-vl,True,4436.0,3903.0,12.015,True,1600.0,1600.0,0.0,True,1.0,True,31.0,31.0,1.0,0.0,0.0,True,0.0,0.0,True,0.99999,True,False,False,False,3903.0
we00017,webcode2m,1207,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00017.html,1123,no_change,1.0,0.0,0.0,0.0,545.0,545.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False,,
we00018,webcode2m,4121,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00018.html,3251,ok,1.0,1.0,1.0,1.0,2600.0,2576.0,"{""unmatched"": 24}",qwen2.5-vl,True,3251.0,3244.0,0.215,True,2209.0,2209.0,0.0,True,1.0,True,65.0,65.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,3244.0
we00019,webcode2m,6600,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00019.html,5230,ok,1.0,32.0,32.0,1.0,10648.0,3746.0,"{""selector_trim"": 5680, ""unmatched"": 1166, ""dead_props"": 56}",qwen2.5-vl,True,5230.0,3525.0,32.6,True,2528.0,2528.0,0.0,True,0.99654,True,59.0,57.0,1.0,0.0,2.0,True,0.0,0.0,True,1.0,True,True,True,True,3525.0
we00020,webcode2m,4953,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00020.html,3468,ok,1.0,39.0,39.0,1.0,8121.0,4762.0,"{""selector_trim"": 1808, ""unmatched"": 1246, ""dead_props"": 305}",qwen2.5-vl,True,3468.0,2458.0,29.123,True,1262.0,1262.0,0.0,True,1.0,True,26.0,26.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2458.0
we00021,webcode2m,5527,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00021.html,4040,ok,1.0,40.0,40.0,1.0,7765.0,6224.0,"{""selector_trim"": 296, ""unmatched"": 1097, ""dead_props"": 148}",qwen2.5-vl,True,4040.0,3567.0,11.708,True,985.0,985.0,0.0,True,0.99035,True,84.0,83.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True,True,True,3567.0
we00022,webcode2m,4247,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00022.html,3389,ok,1.0,15.0,15.0,1.0,2852.0,1950.0,"{""selector_trim"": 877, ""dead_props"": 25}",qwen2.5-vl,True,3389.0,3152.0,6.993,True,1902.0,1902.0,0.0,True,1.0,True,65.0,65.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,3152.0
we00023,webcode2m,3017,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00023.html,2409,ok,1.0,5.0,5.0,1.0,2946.0,2578.0,"{""unmatched"": 353, ""selector_trim"": 15}",qwen2.5-vl,True,2409.0,2302.0,4.442,True,1422.0,1422.0,0.0,True,1.0,True,27.0,27.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2302.0
we00024,webcode2m,2842,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00024.html,2637,ok,1.0,2.0,2.0,1.0,920.0,871.0,"{""selector_trim"": 49}",qwen2.5-vl,True,2637.0,2625.0,0.455,True,1546.0,1546.0,0.0,True,1.0,True,37.0,37.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2625.0
we00025,webcode2m,6591,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00025.html,4486,ok,1.0,11.0,11.0,1.0,6190.0,5508.0,"{""dead_props"": 107, ""selector_trim"": 295, ""unmatched"": 280}",qwen2.5-vl,True,4486.0,4279.0,4.614,True,1549.0,1549.0,0.0,True,1.0,True,34.0,34.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,4279.0
we00026,webcode2m,2870,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00026.html,2274,ok,1.0,8.0,8.0,1.0,1061.0,573.0,"{""selector_trim"": 370, ""unmatched"": 118}",qwen2.5-vl,True,2274.0,2161.0,4.969,True,2156.0,2156.0,0.0,True,1.0,True,38.0,38.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2161.0
we00027,webcode2m,4501,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00027.html,3111,ok,1.0,3.0,3.0,1.0,818.0,293.0,"{""selector_trim"": 525}",qwen2.5-vl,True,3111.0,2988.0,3.954,True,1854.0,1854.0,0.0,True,1.0,True,86.0,86.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2988.0
we00028,webcode2m,2142,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00028.html,1638,ok,1.0,2.0,2.0,1.0,2136.0,2060.0,"{""selector_trim"": 40, ""dead_props"": 36}",qwen2.5-vl,True,1638.0,1618.0,1.221,True,918.0,918.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1618.0
we00029,webcode2m,3422,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00029.html,3047,ok,1.0,4.0,4.0,1.0,1233.0,900.0,"{""selector_trim"": 333}",qwen2.5-vl,True,3047.0,2971.0,2.494,True,2223.0,2223.0,0.0,True,1.0,True,78.0,78.0,0.9973,1.0,0.0,True,0.0,1.497,True,1.0,True,True,True,True,2971.0
we00030,webcode2m,4391,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00030.html,1136,ok,1.0,4.0,4.0,1.0,595.0,479.0,"{""dead_props"": 30, ""unmatched"": 86}",qwen2.5-vl,True,1136.0,1107.0,2.553,True,1773.0,1773.0,0.0,True,1.0,True,47.0,47.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1107.0
we00031,webcode2m,7592,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00031.html,5779,ok,1.0,45.0,45.0,1.0,8886.0,6196.0,"{""selector_trim"": 545, ""unmatched"": 1525, ""dead_props"": 620}",qwen2.5-vl,True,5779.0,4957.0,14.224,True,2970.0,2970.0,0.0,True,1.0,True,29.0,29.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,4957.0
we00032,webcode2m,2560,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00032.html,2269,ok,1.0,5.0,5.0,1.0,1491.0,1428.0,"{""selector_trim"": 63}",qwen2.5-vl,True,2269.0,2250.0,0.837,True,800.0,800.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2250.0
we00033,webcode2m,4997,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00033.html,4540,ok,1.0,12.0,12.0,1.0,2447.0,2195.0,"{""selector_trim"": 252}",qwen2.5-vl,True,4540.0,4447.0,2.048,True,2085.0,2085.0,0.0,True,1.0,True,138.0,138.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,4447.0
we00034,webcode2m,2835,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00034.html,2488,no_change,1.0,0.0,0.0,0.0,1237.0,1237.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False,,
we00035,webcode2m,2717,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00035.html,2492,no_change,1.0,0.0,0.0,0.0,616.0,616.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False,,
we00036,webcode2m,2505,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00036.html,2030,ok,1.0,4.0,4.0,1.0,629.0,171.0,"{""unmatched"": 427, ""dead_props"": 31}",qwen2.5-vl,True,2030.0,1873.0,7.734,True,1908.0,1908.0,0.0,True,0.99898,True,84.0,84.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1873.0
we00037,webcode2m,3187,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00037.html,2499,ok,1.0,18.0,18.0,1.0,3254.0,2719.0,"{""selector_trim"": 166, ""dead_props"": 108, ""unmatched"": 261}",qwen2.5-vl,True,2499.0,2336.0,6.523,True,2336.0,2336.0,0.0,True,1.0,True,88.0,88.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2336.0
we00038,webcode2m,2528,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00038.html,2237,ok,1.0,5.0,5.0,1.0,1483.0,1420.0,"{""selector_trim"": 63}",qwen2.5-vl,True,2237.0,2218.0,0.849,True,800.0,800.0,0.0,True,1.0,True,78.0,78.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2218.0
we00039,webcode2m,3022,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00039.html,2896,ok,1.0,1.0,1.0,1.0,716.0,701.0,"{""dead_props"": 15}",qwen2.5-vl,True,2896.0,2893.0,0.104,True,2188.0,2188.0,0.0,True,1.0,True,14.0,14.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2893.0
we00040,webcode2m,3075,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00040.html,2549,ok,1.0,2.0,2.0,1.0,704.0,663.0,"{""unmatched"": 32, ""selector_trim"": 9}",qwen2.5-vl,True,2549.0,2537.0,0.471,True,2639.0,2639.0,0.0,True,1.0,True,97.0,97.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2537.0
we00041,webcode2m,3819,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00041.html,2654,ok,1.0,1.0,1.0,1.0,3616.0,3555.0,"{""selector_trim"": 61}",qwen2.5-vl,True,2654.0,2640.0,0.528,True,1953.0,1953.0,0.0,True,1.0,True,53.0,53.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2640.0
we00042,webcode2m,3565,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00042.html,2515,ok,1.0,2.0,2.0,1.0,928.0,833.0,"{""unmatched"": 79, ""selector_trim"": 16}",qwen2.5-vl,True,2515.0,2486.0,1.153,True,1991.0,1991.0,0.0,True,1.0,True,72.0,72.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2486.0
we00043,webcode2m,1527,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00043.html,1087,ok,1.0,3.0,3.0,1.0,592.0,206.0,"{""unmatched"": 386}",qwen2.5-vl,True,1087.0,933.0,14.167,True,1040.0,1040.0,0.0,True,1.0,True,33.0,33.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,933.0
we00044,webcode2m,5874,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00044.html,3653,ok,1.0,41.0,41.0,1.0,5193.0,3468.0,"{""selector_trim"": 402, ""dead_props"": 42, ""unmatched"": 1281}",qwen2.5-vl,True,3653.0,3030.0,17.054,True,844.0,844.0,0.0,True,1.0,True,23.0,23.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,3030.0
we00045,webcode2m,2542,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00045.html,1989,ok,1.0,14.0,14.0,1.0,2805.0,2378.0,"{""selector_trim"": 252, ""dead_props"": 15, ""unmatched"": 160}",qwen2.5-vl,True,1989.0,1867.0,6.134,True,808.0,808.0,0.0,True,1.0,True,68.0,68.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1867.0
we00046,webcode2m,4561,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00046.html,4050,ok,1.0,7.0,7.0,1.0,2843.0,2617.0,"{""selector_trim"": 38, ""unmatched"": 188}",qwen2.5-vl,True,4050.0,3968.0,2.025,True,1084.0,1084.0,0.0,True,1.0,True,128.0,128.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,3968.0
we00047,webcode2m,6557,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00047.html,4451,ok,1.0,11.0,11.0,1.0,6190.0,5508.0,"{""dead_props"": 107, ""selector_trim"": 295, ""unmatched"": 280}",qwen2.5-vl,True,4451.0,4244.0,4.651,True,1577.0,1577.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,4244.0
we00048,webcode2m,3090,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00048.html,1870,ok,1.0,3.0,3.0,1.0,507.0,314.0,"{""unmatched"": 121, ""selector_trim"": 72}",qwen2.5-vl,True,1870.0,1812.0,3.102,True,1616.0,1616.0,0.0,True,1.0,True,54.0,54.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1812.0
we00049,webcode2m,2989,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00049.html,2171,ok,1.0,4.0,4.0,1.0,1185.0,673.0,"{""selector_trim"": 166, ""unmatched"": 331, ""dead_props"": 15}",qwen2.5-vl,True,2171.0,2051.0,5.527,True,1768.0,1768.0,0.0,True,1.0,True,46.0,46.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2051.0
we00050,webcode2m,4327,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00050.html,3615,ok,1.0,10.0,10.0,1.0,3300.0,3064.0,"{""selector_trim"": 22, ""dead_props"": 214}",qwen2.5-vl,True,3615.0,3548.0,1.853,True,2485.0,2485.0,0.0,True,0.99923,True,162.0,161.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True,True,True,3548.0
we00051,webcode2m,3336,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00051.html,2937,ok,1.0,5.0,5.0,1.0,1701.0,1413.0,"{""unmatched"": 115, ""selector_trim"": 173}",qwen2.5-vl,True,2937.0,2855.0,2.792,True,1998.0,1998.0,0.0,True,1.0,True,48.0,48.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2855.0
we00052,webcode2m,1956,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00052.html,1584,ok,1.0,1.0,1.0,1.0,619.0,614.0,"{""selector_trim"": 5}",qwen2.5-vl,True,1584.0,1581.0,0.189,True,917.0,917.0,0.0,True,1.0,True,42.0,42.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1581.0
we00053,webcode2m,3488,final:original,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\data\raw_webcode2m\we00053.html,3488,"page_error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/data/raw_webcode2m/we00053.html"", waiting until ""load""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
we00054,webcode2m,5530,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00054.html,3143,ok,1.0,35.0,35.0,1.0,5169.0,2943.0,"{""selector_trim"": 367, ""unmatched"": 1609, ""dead_props"": 250}",qwen2.5-vl,True,3143.0,2434.0,22.558,True,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2434.0
we00055,webcode2m,4375,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00055.html,2717,ok,1.0,6.0,6.0,1.0,4206.0,3958.0,"{""dead_props"": 14, ""unmatched"": 213, ""selector_trim"": 21}",qwen2.5-vl,True,2717.0,2622.0,3.497,True,1579.0,1579.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2622.0
we00056,webcode2m,1704,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00056.html,1217,ok,1.0,3.0,3.0,1.0,2238.0,1925.0,"{""unmatched"": 313}",qwen2.5-vl,True,1217.0,1106.0,9.121,True,970.0,970.0,0.0,True,1.0,True,32.0,32.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1106.0
we00057,webcode2m,4324,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00057.html,3491,ok,1.0,17.0,17.0,1.0,5099.0,3015.0,"{""selector_trim"": 471, ""unmatched"": 1613}",qwen2.5-vl,True,3491.0,2886.0,17.33,True,3202.0,3202.0,0.0,True,0.90688,True,41.0,40.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True,True,True,2886.0
we00058,webcode2m,2298,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00058.html,1849,ok,1.0,1.0,1.0,1.0,665.0,650.0,"{""dead_props"": 15}",qwen2.5-vl,True,1849.0,1846.0,0.162,True,1506.0,1506.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,1846.0
we00059,webcode2m,2612,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00059.html,2361,ok,1.0,2.0,2.0,1.0,645.0,575.0,"{""selector_trim"": 70}",qwen2.5-vl,True,2361.0,2345.0,0.678,True,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,2345.0
