page_id,source,base,n_invisible,n_wrappers,n_candidate_edits,tokens_base,status,accepted,reduction_pct,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical
we00044,webcode2m,level1,12.0,5.0,17.0,5447.0,ok,True,13.2,32.0,3.0,3.0,0.0,14.0,719.0,0.0,qwen2.5-vl,True,5447.0,4728.0,True,844.0,844.0,0.0,True,1.0,True,23.0,23.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00045,webcode2m,level1,3.0,0.0,3.0,2456.0,ok,True,0.733,5.0,1.0,1.0,0.0,2.0,18.0,0.0,qwen2.5-vl,True,2456.0,2438.0,True,808.0,808.0,0.0,True,1.0,True,68.0,68.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00046,webcode2m,level1,15.0,14.0,29.0,4249.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00047,webcode2m,original,,,,,skipped_data_selector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00048,webcode2m,level1,7.0,1.0,8.0,2725.0,ok,True,26.092,1.0,8.0,7.0,1.0,0.0,707.0,-231.0,qwen2.5-vl,True,2725.0,2014.0,True,1616.0,1616.0,0.0,True,1.0,True,54.0,54.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00049,webcode2m,level1,7.0,44.0,51.0,2888.0,ok,True,17.555,30.0,38.0,7.0,31.0,13.0,-8.0,425.0,qwen2.5-vl,True,2888.0,2381.0,True,1768.0,1768.0,0.0,True,1.0,True,46.0,46.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00050,webcode2m,original,14.0,11.0,25.0,4327.0,ok,True,1.618,40.0,9.0,1.0,8.0,14.0,4.0,66.0,qwen2.5-vl,True,4327.0,4257.0,True,2485.0,2485.0,0.0,True,1.0,True,162.0,162.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00051,webcode2m,level1,13.0,11.0,24.0,3219.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00052,webcode2m,original,29.0,12.0,41.0,1956.0,ok,True,2.147,40.0,4.0,4.0,0.0,16.0,42.0,0.0,qwen2.5-vl,True,1956.0,1914.0,True,917.0,917.0,0.0,True,1.0,True,42.0,42.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00053,webcode2m,level1,,,,,"page_error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/outputs/level2/webcode2m/we00053__stamped.html"", waiting until ""load""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00054,webcode2m,level1,7.0,36.0,43.0,5410.0,ok,True,26.95,26.0,32.0,7.0,25.0,11.0,1361.0,164.0,qwen2.5-vl,True,5410.0,3952.0,True,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00055,webcode2m,level1,23.0,5.0,28.0,4227.0,ok,True,5.252,38.0,11.0,11.0,0.0,17.0,222.0,0.0,qwen2.5-vl,True,4227.0,4005.0,True,1579.0,1579.0,0.0,True,1.0,True,74.0,74.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00056,webcode2m,level1,4.0,2.0,6.0,1643.0,ok,True,1.704,7.0,3.0,3.0,0.0,3.0,28.0,0.0,qwen2.5-vl,True,1643.0,1615.0,True,970.0,970.0,0.0,True,1.0,True,32.0,32.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00057,webcode2m,level1,8.0,8.0,16.0,4216.0,ok,True,5.266,18.0,9.0,1.0,8.0,7.0,72.0,51.0,qwen2.5-vl,True,4216.0,3994.0,True,3202.0,3202.0,0.0,True,0.90688,True,41.0,40.0,1.0,0.0,1.0,True,0.0,0.0,True,1.0,True,True
we00058,webcode2m,level1,9.0,41.0,50.0,2226.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00059,webcode2m,original,13.0,15.0,28.0,2612.0,ok,True,7.619,38.0,16.0,5.0,11.0,8.0,94.0,105.0,qwen2.5-vl,True,2612.0,2413.0,True,1090.0,1090.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00060,webcode2m,original,12.0,27.0,39.0,3353.0,ok,True,7.814,40.0,16.0,11.0,5.0,4.0,217.0,44.0,qwen2.5-vl,True,3353.0,3091.0,True,1767.0,1767.0,0.0,True,1.0,True,82.0,82.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
