page_id,source,base,n_invisible,n_wrappers,n_candidate_edits,tokens_base,status,accepted,reduction_pct,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical
we00061,webcode2m,original,32.0,16.0,48.0,2695.0,ok,True,0.742,40.0,4.0,4.0,0.0,12.0,20.0,0.0,qwen2.5-vl,True,2695.0,2675.0,True,1956.0,1956.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00062,webcode2m,level1,14.0,7.0,21.0,1707.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00063,webcode2m,level1,11.0,7.0,18.0,7014.0,ok,True,6.387,14.0,13.0,6.0,7.0,5.0,390.0,-6.0,qwen2.5-vl,True,7014.0,6566.0,True,1538.0,1538.0,0.0,True,1.0,True,54.0,54.0,1.0,0.0,0.0,True,0.0,0.0,True,,True,True
we00064,webcode2m,level1,14.0,7.0,21.0,3412.0,all_edits_rejected,False,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00065,webcode2m,level1,15.0,8.0,23.0,4042.0,ok,True,4.948,25.0,11.0,11.0,0.0,12.0,200.0,0.0,qwen2.5-vl,True,4042.0,3842.0,True,1527.0,1527.0,0.0,True,1.0,True,67.0,67.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00066,webcode2m,level1,6.0,19.0,25.0,1341.0,ok,True,16.779,16.0,19.0,6.0,13.0,6.0,133.0,82.0,qwen2.5-vl,True,1341.0,1116.0,True,1627.0,1627.0,0.0,True,1.0,True,13.0,13.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00067,webcode2m,original,10.0,6.0,16.0,4451.0,ok,True,2.449,26.0,11.0,5.0,6.0,5.0,64.0,73.0,qwen2.5-vl,True,4451.0,4342.0,True,2128.0,2128.0,0.0,True,1.0,True,92.0,92.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00068,webcode2m,level1,10.0,8.0,18.0,4717.0,ok,True,9.879,19.0,9.0,9.0,0.0,9.0,466.0,0.0,qwen2.5-vl,True,4717.0,4251.0,True,800.0,800.0,0.0,True,1.0,True,27.0,27.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00069,webcode2m,original,48.0,9.0,57.0,2884.0,ok,True,0.659,40.0,5.0,5.0,0.0,12.0,19.0,0.0,qwen2.5-vl,True,2884.0,2865.0,True,1051.0,1051.0,0.0,True,1.0,True,62.0,62.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00070,webcode2m,level1,9.0,19.0,28.0,2731.0,ok,True,6.371,18.0,21.0,9.0,12.0,7.0,37.0,72.0,qwen2.5-vl,True,2731.0,2557.0,True,1710.0,1710.0,0.0,True,1.0,True,48.0,48.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True
we00071,webcode2m,original,,,,,"page_error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/outputs/level2/webcode2m/we00071__stamped.html"", waiting until ""load""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
