page_id,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,stage,status
we00023,qwen2.5-vl,True,3017,2706,10.308,True,1422,1422,0,True,1.0,True,27,27,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00024,qwen2.5-vl,True,2842,2689,5.384,True,1546,1546,0,True,1.0,True,37,37,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00024,qwen2.5-vl,True,2842,2670,6.052,True,1546,1546,0,True,1.0,True,37,37,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00025,qwen2.5-vl,True,6591,5682,13.792,True,1549,2827,1278,False,0.92027,False,34,63,0.0392,1277.84,29,False,4.945,13.342,False,0.83178,True,False,False,l1a,ok
we00025,qwen2.5-vl,True,6591,5621,14.717,True,1549,2827,1278,False,0.92027,False,34,63,0.0392,1277.84,29,False,4.945,13.342,False,0.83178,True,False,False,l1b,ok
we00026,qwen2.5-vl,True,2870,2766,3.624,True,2156,2124,32,False,1.0,True,38,38,0.8515,32.0,0,False,0.0,0.059,True,0.96017,True,False,False,l1a,ok
we00026,qwen2.5-vl,True,2870,2711,5.54,True,2156,2124,32,False,1.0,True,38,38,0.8515,32.0,0,False,0.0,0.059,True,0.96017,True,False,False,l1b,ok
we00027,qwen2.5-vl,True,4501,4423,1.733,True,1854,1854,0,True,1.0,True,86,86,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00027,qwen2.5-vl,True,4501,4190,6.91,True,1854,1854,0,True,1.0,True,86,86,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00028,qwen2.5-vl,True,2142,1734,19.048,True,918,918,0,True,1.0,True,36,36,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00028,qwen2.5-vl,True,2142,1710,20.168,True,918,918,0,True,1.0,True,36,36,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00029,qwen2.5-vl,True,3422,3314,3.156,True,2223,2223,0,True,1.0,True,78,78,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00029,qwen2.5-vl,True,3422,3253,4.939,True,2223,2223,0,True,0.99981,True,78,78,0.9937,4.0,0,False,0.0,0.012,True,0.99817,True,False,False,l1b,ok
we00030,qwen2.5-vl,True,4391,4279,2.551,True,1773,1767,6,False,1.0,True,47,47,0.9667,6.0,0,False,0.0,0.0,True,0.99545,True,False,False,l1a,ok
we00030,qwen2.5-vl,True,4391,4252,3.166,True,1773,1767,6,False,1.0,True,47,47,0.9667,6.0,0,False,0.0,0.0,True,0.99545,True,False,False,l1b,ok
we00031,qwen2.5-vl,True,7592,6235,17.874,True,2970,2970,0,True,1.0,True,29,29,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00031,qwen2.5-vl,True,7592,6187,18.506,True,2970,2970,0,True,1.0,True,29,29,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00032,qwen2.5-vl,True,2560,2323,9.258,True,800,800,0,True,1.0,True,74,74,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00032,qwen2.5-vl,True,2560,2233,12.773,True,800,800,0,True,1.0,True,74,74,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00033,qwen2.5-vl,True,4997,4575,8.445,True,2085,2085,0,True,1.0,True,138,138,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00033,qwen2.5-vl,True,4997,4456,10.826,True,2085,2085,0,True,1.0,True,138,138,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00034,qwen2.5-vl,True,2835,2584,8.854,True,1998,1998,0,True,1.0,True,66,66,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00034,qwen2.5-vl,True,2835,2516,11.252,True,1998,1998,0,True,0.99989,True,66,66,0.9994,3.62,0,False,0.0,0.154,True,0.99854,True,False,False,l1b,ok
we00035,qwen2.5-vl,True,2717,2598,4.38,True,800,800,0,True,1.0,True,33,33,0.8178,13.0,0,False,0.0,0.151,True,0.94033,True,False,False,l1a,ok
we00035,qwen2.5-vl,True,2717,2574,5.263,True,800,800,0,True,1.0,True,33,33,0.8178,13.0,0,False,0.0,0.151,True,0.94033,True,False,False,l1b,ok
we00036,qwen2.5-vl,True,2505,2401,4.152,True,1908,1908,0,True,1.0,True,84,84,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00036,qwen2.5-vl,True,2505,2378,5.07,True,1908,1908,0,True,1.0,True,84,84,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00037,qwen2.5-vl,True,3187,2658,16.599,True,2336,2336,0,True,1.0,True,88,88,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00037,qwen2.5-vl,True,3187,2618,17.854,True,2336,2336,0,True,1.0,True,88,88,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00038,qwen2.5-vl,True,2528,2295,9.217,True,800,800,0,True,1.0,True,78,78,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00038,qwen2.5-vl,True,2528,2201,12.935,True,800,800,0,True,1.0,True,78,78,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00039,qwen2.5-vl,True,3022,2911,3.673,True,2188,2188,0,True,1.0,True,14,14,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00039,qwen2.5-vl,True,3022,2905,3.872,True,2188,2188,0,True,0.99994,True,14,14,0.9945,4.45,0,False,0.141,0.362,True,0.99884,True,False,False,l1b,ok
we00040,qwen2.5-vl,True,3075,2922,4.976,True,2639,2636,3,False,1.0,True,97,97,0.7295,146.52,0,False,0.002,1.0,True,0.84929,True,False,False,l1a,ok
we00040,qwen2.5-vl,True,3075,2762,10.179,True,2639,2636,3,False,0.99987,True,97,97,0.7289,146.52,0,False,0.086,1.0,True,0.84913,True,False,False,l1b,ok
we00041,qwen2.5-vl,True,3819,2987,21.786,True,1953,1953,0,True,1.0,True,53,53,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00041,qwen2.5-vl,True,3819,2948,22.807,True,1953,1953,0,True,1.0,True,53,53,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00042,qwen2.5-vl,True,3565,3344,6.199,True,1991,1991,0,True,1.0,True,72,72,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00042,qwen2.5-vl,True,3565,3286,7.826,True,1991,1991,0,True,1.0,True,72,72,0.9963,4.0,0,False,0.0,0.0,True,0.9993,True,False,False,l1b,ok
we00043,qwen2.5-vl,True,1527,1365,10.609,True,1040,1040,0,True,1.0,True,33,33,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00043,qwen2.5-vl,True,1527,1334,12.639,True,1040,1040,0,True,1.0,True,33,33,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
we00044,qwen2.5-vl,True,5874,4871,17.075,True,844,844,0,True,1.0,True,23,23,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1a,ok
we00044,qwen2.5-vl,True,5874,4743,19.254,True,844,844,0,True,1.0,True,23,23,1.0,0.0,0,True,0.0,0.0,True,1.0,True,True,True,l1b,ok
