page_id,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,status
we00089,qwen2.5-vl,True,1700.0,1574.0,7.412,True,1098.0,1102.0,4.0,False,1.0,True,51.0,51.0,0.738,4.0,0.0,False,0.0,0.002,True,0.92873,True,False,False,ok
we00090,qwen2.5-vl,True,6864.0,6766.0,1.428,True,800.0,800.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00091,qwen2.5-vl,True,8292.0,8228.0,0.772,True,1459.0,1459.0,0.0,True,1.0,True,45.0,45.0,1.0,0.0,0.0,True,0.0,0.002,True,0.99887,True,False,True,ok
we00092,qwen2.5-vl,True,4239.0,4121.0,2.784,True,2097.0,2097.0,0.0,True,1.0,True,46.0,46.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00093,qwen2.5-vl,True,3348.0,3228.0,3.584,True,2094.0,2094.0,0.0,True,1.0,True,45.0,45.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00094,qwen2.5-vl,True,2966.0,2821.0,4.889,True,1619.0,1619.0,0.0,True,1.0,True,69.0,69.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00095,qwen2.5-vl,True,4842.0,4752.0,1.859,True,1935.0,1935.0,0.0,True,1.0,True,43.0,43.0,0.9814,4.73,0.0,False,0.079,0.122,True,0.99585,True,False,False,ok
we00096,qwen2.5-vl,True,3920.0,3847.0,1.862,True,1459.0,1459.0,0.0,True,1.0,True,24.0,24.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00097,qwen2.5-vl,True,4418.0,4345.0,1.652,True,1344.0,1344.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00098,qwen2.5-vl,True,2729.0,2552.0,6.486,True,1645.0,1645.0,0.0,True,1.0,True,67.0,67.0,1.0,0.01,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
we00099,qwen2.5-vl,True,2025.0,1987.0,1.877,True,1163.0,1163.0,0.0,True,1.0,True,34.0,34.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,ok
