page_id,base,base_path,tokens_page,chars_page,n_style_blocks,chars_css,tokens_css,chars_selector_trim,tokens_selector_trim,chars_unmatched,tokens_unmatched,status,n_rules,n_style_rules,n_selectors_asked,n_selectors_unmatched,n_selectors_invalid,css_candidate_chars,css_candidate_tokens,css_candidate_pct_of_css_chars,proposed_tokens_saved,proposed_pct_of_page_tokens,chars_dead_props,tokens_dead_props
we00010,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00010.html,4021,14092,1,5185,1575,540.0,182.0,1055.0,279.0,ok,77.0,77.0,136.0,68.0,0.0,1875.0,547.0,36.16,547.0,13.6,280.0,86.0
we00011,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00011.html,5492,19384,1,9441,2792,2102.0,630.0,1188.0,385.0,ok,99.0,99.0,184.0,97.0,0.0,3345.0,1028.0,35.43,1028.0,18.72,55.0,13.0
we00012,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00012.html,3077,11708,1,4611,1309,,,338.0,108.0,ok,52.0,52.0,53.0,6.0,0.0,353.0,111.0,7.66,111.0,3.61,15.0,3.0
we00013,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00013.html,2358,7298,1,783,332,124.0,83.0,,,ok,18.0,18.0,37.0,20.0,0.0,124.0,83.0,15.84,83.0,3.52,,
we00014,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00014.html,6969,22940,1,13035,3842,1837.0,558.0,1395.0,462.0,ok,136.0,136.0,252.0,113.0,0.0,3446.0,1070.0,26.44,1070.0,15.35,214.0,50.0
we00015,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00015.html,5561,18920,1,11584,3507,1480.0,431.0,1669.0,560.0,ok,131.0,131.0,210.0,99.0,0.0,3413.0,1067.0,29.46,1067.0,19.19,264.0,76.0
we00016,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00016.html,4436,16363,1,7015,2155,809.0,262.0,760.0,239.0,ok,91.0,91.0,149.0,70.0,0.0,1686.0,533.0,24.03,533.0,12.02,117.0,32.0
we00017,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00017.html,1123,3830,1,545,201,,,,,ok,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
we00018,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00018.html,3251,10347,1,2600,988,,,24.0,7.0,ok,39.0,39.0,40.0,1.0,0.0,24.0,7.0,0.92,7.0,0.22,,
we00019,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00019.html,5230,19583,1,10648,2929,5680.0,1318.0,1166.0,371.0,ok,76.0,76.0,213.0,149.0,0.0,6902.0,1705.0,64.82,1705.0,32.6,56.0,16.0
we00020,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00020.html,3468,11777,1,8121,2514,1808.0,587.0,1246.0,334.0,ok,92.0,92.0,176.0,102.0,0.0,3359.0,1010.0,41.36,1010.0,29.12,305.0,89.0
we00021,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00021.html,4040,13086,1,7765,2503,296.0,78.0,1097.0,359.0,ok,107.0,107.0,114.0,37.0,0.0,1541.0,473.0,19.85,473.0,11.71,148.0,36.0
we00022,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00022.html,3389,12996,1,2852,838,877.0,229.0,,,ok,30.0,30.0,62.0,35.0,0.0,902.0,237.0,31.63,237.0,6.99,25.0,8.0
we00023,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00023.html,2409,9715,1,2946,793,15.0,10.0,353.0,97.0,ok,35.0,35.0,39.0,9.0,0.0,368.0,107.0,12.49,107.0,4.44,,
we00024,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00024.html,2637,6551,1,920,290,49.0,12.0,,,ok,14.0,14.0,15.0,2.0,0.0,49.0,12.0,5.33,12.0,0.46,,
we00025,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00025.html,4486,13329,1,6190,2134,295.0,87.0,280.0,83.0,ok,59.0,59.0,69.0,13.0,0.0,682.0,207.0,11.02,207.0,4.61,107.0,37.0
we00026,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00026.html,2274,8676,1,1061,262,370.0,79.0,118.0,34.0,ok,14.0,14.0,26.0,15.0,0.0,488.0,113.0,45.99,113.0,4.97,,
we00027,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00027.html,3111,9013,1,818,195,525.0,123.0,,,ok,3.0,3.0,15.0,10.0,0.0,525.0,123.0,64.18,123.0,3.95,,
we00028,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00028.html,1638,5127,1,2136,742,40.0,12.0,,,ok,31.0,31.0,37.0,3.0,0.0,76.0,20.0,3.56,20.0,1.22,36.0,8.0
we00029,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00029.html,3047,12714,1,1233,312,333.0,76.0,,,ok,14.0,14.0,35.0,16.0,0.0,333.0,76.0,27.01,76.0,2.49,,
we00030,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00030.html,1136,3756,1,595,174,,,86.0,24.0,ok,9.0,9.0,9.0,2.0,0.0,116.0,29.0,19.5,29.0,2.55,30.0,5.0
we00031,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00031.html,5779,18604,1,8886,2562,545.0,184.0,1525.0,457.0,ok,117.0,117.0,172.0,79.0,0.0,2690.0,822.0,30.27,822.0,14.22,620.0,181.0
we00032,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00032.html,2269,7137,1,1491,559,63.0,19.0,,,ok,21.0,21.0,31.0,7.0,0.0,63.0,19.0,4.23,19.0,0.84,,
we00033,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00033.html,4540,13832,1,2447,859,252.0,93.0,,,ok,37.0,37.0,47.0,16.0,0.0,252.0,93.0,10.3,93.0,2.05,,
we00034,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00034.html,2488,8500,1,1237,507,,,,,ok,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
we00035,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00035.html,2492,5609,1,616,217,,,,,ok,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
we00036,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00036.html,2030,7168,1,629,229,,,427.0,147.0,ok,4.0,4.0,3.0,2.0,0.0,458.0,157.0,72.81,157.0,7.73,31.0,10.0
we00037,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00037.html,2499,7939,1,3254,1103,166.0,51.0,261.0,82.0,ok,52.0,52.0,57.0,19.0,0.0,535.0,163.0,16.44,163.0,6.52,108.0,30.0
we00038,final:l1,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00038.html,2237,7072,1,1483,557,63.0,19.0,,,ok,21.0,21.0,31.0,7.0,0.0,63.0,19.0,4.25,19.0,0.85,,
we00039,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00039.html,2896,9583,1,716,241,,,,,ok,9.0,9.0,10.0,0.0,0.0,15.0,3.0,2.09,3.0,0.1,15.0,3.0
we00040,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00040.html,2549,8882,1,704,203,9.0,2.0,32.0,10.0,ok,11.0,11.0,12.0,2.0,0.0,41.0,12.0,5.82,12.0,0.47,,
we00041,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00041.html,2654,8814,1,3616,1131,61.0,14.0,,,ok,33.0,33.0,34.0,1.0,0.0,61.0,14.0,1.69,14.0,0.53,,
we00042,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00042.html,2515,9509,1,928,298,16.0,7.0,79.0,22.0,ok,14.0,14.0,25.0,2.0,0.0,95.0,29.0,10.24,29.0,1.15,,
we00043,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00043.html,1087,3980,1,592,219,,,386.0,154.0,ok,8.0,8.0,10.0,5.0,0.0,386.0,154.0,65.2,154.0,14.17,,
we00044,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00044.html,3653,11766,1,5193,1729,402.0,146.0,1281.0,465.0,ok,78.0,78.0,114.0,66.0,0.0,1725.0,623.0,33.22,623.0,17.05,42.0,12.0
we00045,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00045.html,1989,5984,1,2805,962,252.0,68.0,160.0,52.0,ok,35.0,35.0,49.0,21.0,0.0,427.0,122.0,15.22,122.0,6.13,15.0,2.0
we00046,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00046.html,4050,12541,1,2843,1003,38.0,13.0,188.0,69.0,ok,42.0,42.0,49.0,8.0,0.0,226.0,82.0,7.95,82.0,2.02,,
we00047,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00047.html,4451,13053,1,6190,2134,295.0,87.0,280.0,83.0,ok,59.0,59.0,69.0,13.0,0.0,682.0,207.0,11.02,207.0,4.65,107.0,37.0
we00048,final:l2,C:\Users\Mahin\Thesis\render_validated_starter_kit\starter_kit\outputs\final_targets\webcode2m\we00048.html,1870,6951,1,507,159,72.0,16.0,121.0,42.0,ok,8.0,8.0,12.0,6.0,0.0,193.0,58.0,38.07,58.0,3.1,,
