page_id,source,base,stamp_roundtrip_identical,n_invisible,n_wrappers,n_candidate_edits,tokens_base,tokens_original,prescreen_ran,n_prescreen_dropped,status,gate_calls,n_kept,n_kept_invisible,n_kept_wrappers,n_blacklisted,tokens_saved_invisible,tokens_saved_wrappers,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted
we00028,webcode2m,level1,,11.0,2.0,13.0,1710.0,2142.0,True,5.0,ok,1.0,8.0,6.0,2.0,0.0,54.0,-5.0,qwen2.5-vl,True,1710.0,1638.0,4.211,True,918.0,918.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00029,webcode2m,level1,,6.0,35.0,41.0,3314.0,3422.0,True,5.0,ok,4.0,18.0,6.0,12.0,0.0,167.0,124.0,qwen2.5-vl,True,3314.0,3047.0,8.057,True,2223.0,2223.0,0.0,True,1.0,True,78.0,78.0,0.9973,1.0,0.0,True,0.0,1.497,True,1.0,True,True,True
we00030,webcode2m,level1,,22.0,8.0,30.0,4256.0,4391.0,True,2.0,ok,1.0,28.0,21.0,7.0,0.0,3067.0,28.0,qwen2.5-vl,True,4256.0,1136.0,73.308,True,1773.0,1773.0,0.0,True,1.0,True,47.0,47.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00031,webcode2m,level1,,10.0,5.0,15.0,6187.0,7592.0,True,5.0,ok,1.0,10.0,7.0,3.0,0.0,379.0,-14.0,qwen2.5-vl,True,6187.0,5779.0,6.594,True,2970.0,2970.0,0.0,True,1.0,True,29.0,29.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00032,webcode2m,level1,,1.0,3.0,4.0,2269.0,2560.0,True,0.0,all_edits_rejected,7.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False
we00033,webcode2m,level1,,14.0,1.0,15.0,4540.0,4997.0,True,0.0,all_edits_rejected,29.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,False
we00034,webcode2m,level1,,12.0,13.0,25.0,2600.0,2835.0,True,9.0,ok,1.0,16.0,7.0,9.0,0.0,65.0,59.0,qwen2.5-vl,True,2600.0,2488.0,4.308,True,1998.0,1998.0,0.0,True,1.0,True,66.0,66.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00035,webcode2m,level1,,4.0,0.0,4.0,2578.0,2717.0,True,1.0,ok,1.0,3.0,3.0,0.0,0.0,86.0,0.0,qwen2.5-vl,True,2578.0,2492.0,3.336,True,800.0,800.0,0.0,True,1.0,True,33.0,33.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00036,webcode2m,level1,,9.0,27.0,36.0,2378.0,2505.0,True,3.0,ok,1.0,33.0,9.0,24.0,0.0,114.0,215.0,qwen2.5-vl,True,2378.0,2030.0,14.634,True,1908.0,1908.0,0.0,True,0.99898,True,84.0,84.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
we00037,webcode2m,level1,,10.0,4.0,14.0,2618.0,3187.0,True,0.0,ok,1.0,14.0,10.0,4.0,0.0,91.0,-7.0,qwen2.5-vl,True,2618.0,2499.0,4.545,True,2336.0,2336.0,0.0,True,1.0,True,88.0,88.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True
