sample_id,page_id,source,mutation,protocol_id,family,intent,variant,extension,status,attempts,target_ids,severity_nominal,severity_achieved,detail,verified_change,verified_label,calib_include,n_diff_pixels,diff_frac,shape_mismatch,diff_bbox,tokenizer,g0_parse,tokens_orig,tokens_comp,reduction_pct,g1_tokens,docH_orig,docH_comp,height_delta_px,g2_height,text_ratio,g3_text,n_boxes_orig,n_boxes_comp,iou_mean,center_shift_max,n_unmatched,g4_blocks,deltae_p95,deltae_max,g5_color,ssim_diag,g6_lpips,pixel_identical,accepted,accepted_visual,accepted_full,ssim_canvas
we00053__s6_reminify__default,we00053,webcode2m,s6_reminify,S6,source,safe,default,False,"page_error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/outputs/stress/webcode2m/we00053__stamped.html"", waiting until ""load""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00053__x1_legacy_whitespace_regex__default,we00053,webcode2m,x1_legacy_whitespace_regex,X1,source,probe,default,True,"page_error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""file:///C:/Users/Mahin/Thesis/render_validated_starter_kit/starter_kit/outputs/stress/webcode2m/we00053__stamped.html"", waiting until ""load""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00054__m1_delete_text_block__default,we00054,webcode2m,m1_delete_text_block,M1,structure,breaking,default,False,ok,1.0,84,,,deleted <span id=84 122x16>,True,1.0,True,674.0,0.000445,False,"855,966,977,977",qwen2.5-vl,True,7101.0,7074.0,0.38,True,1183.0,1183.0,0.0,True,0.99674,True,36.0,35.0,1.0,0.0,1.0,False,0.0,0.009,True,0.99879,True,False,False,False,False,0.99879
we00054__m2_corrupt_text__default,we00054,webcode2m,m2_corrupt_text,M2,text,breaking,default,False,ok,1.0,48,0.3,,corrupted 11/38 chars in <h1 id=48 1024x40>,True,1.0,True,6833.0,0.004512,False,"193,83,849,110",qwen2.5-vl,True,7101.0,7107.0,-0.084,False,1183.0,1183.0,0.0,True,0.99579,True,36.0,36.0,0.9992,10.3,0.0,False,0.002,0.168,True,0.99244,True,False,False,False,False,0.99244
we00054__m3_shift_element__px8,we00054,webcode2m,m3_shift_element,M3,geometry,breaking,px8,False,ok,1.0,52,8.0,,margin-left 0->8px on <span id=52 76x16>,True,1.0,True,1149.0,0.000759,False,"185,126,347,138",qwen2.5-vl,True,7101.0,7111.0,-0.141,False,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,0.9878,8.0,0.0,False,0.0,0.22,True,0.99859,True,False,False,False,False,0.99859
we00054__m3_shift_element__px16,we00054,webcode2m,m3_shift_element,M3,geometry,breaking,px16,False,ok,1.0,93,16.0,,margin-left 0->16px on <span id=93 122x16>,True,1.0,True,959.0,0.000633,False,"730,1059,868,1070",qwen2.5-vl,True,7101.0,7112.0,-0.155,False,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,0.9936,16.0,0.0,False,0.0,0.0,True,0.99882,True,False,False,False,False,0.99882
we00054__m3_shift_element__px32,we00054,webcode2m,m3_shift_element,M3,geometry,breaking,px32,False,ok,1.0,52,32.0,,margin-left 0->32px on <span id=52 76x16>,True,1.0,True,1296.0,0.000856,False,"185,126,371,138",qwen2.5-vl,True,7101.0,7112.0,-0.155,False,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,0.9621,32.0,0.0,False,0.0,0.79,True,0.99815,True,False,False,False,False,0.99815
we00054__m4_recolor_element__de2,we00054,webcode2m,m4_recolor_element,M4,color,breaking,de2,False,ok,1.0,94,2.0,2.111,"bg rgb(34, 34, 34) -> rgb(35,34,31) dE00=2.111 on <footer id=94 1280x20>",True,1.0,True,25600.0,0.016906,False,"0,1134,1279,1153",qwen2.5-vl,True,7101.0,7120.0,-0.268,False,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.51,1.472,True,0.99998,True,False,False,True,False,0.99998
we00054__m4_recolor_element__de5,we00054,webcode2m,m4_recolor_element,M4,color,breaking,de5,False,ok,1.0,94,5.0,5.233,"bg rgb(34, 34, 34) -> rgb(37,34,26) dE00=5.233 on <footer id=94 1280x20>",True,1.0,True,25600.0,0.016906,False,"0,1134,1279,1153",qwen2.5-vl,True,7101.0,7120.0,-0.268,False,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,1.312,3.737,True,0.99981,True,False,False,True,False,0.99981
we00054__m4_recolor_element__de10,we00054,webcode2m,m4_recolor_element,M4,color,breaking,de10,False,ok,1.0,94,10.0,9.976,"bg rgb(34, 34, 34) -> rgb(40,33,15) dE00=9.976 on <footer id=94 1280x20>",True,1.0,True,25600.0,0.016906,False,"0,1134,1279,1153",qwen2.5-vl,True,7101.0,7120.0,-0.268,False,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,2.189,6.138,False,0.99887,True,False,False,False,False,0.99887
we00054__m5_fontsize_bump__minus2,we00054,webcode2m,m5_fontsize_bump,M5,typography,breaking,minus2,False,ok,1.0,93,-2.0,,font-size 14->12px on <span id=93 122x16>,True,1.0,True,7563.0,0.00499,True,"0,1059,1279,1168",qwen2.5-vl,True,7101.0,7112.0,-0.155,False,1183.0,1184.0,1.0,True,1.0,True,36.0,36.0,0.9812,8.78,0.0,False,0.001,0.708,True,0.99022,True,False,False,False,False,0.99023
we00054__m5_fontsize_bump__plus2,we00054,webcode2m,m5_fontsize_bump,M5,typography,breaking,plus2,False,ok,1.0,16,2.0,,font-size 14->16px on <a id=16 65x47>,True,1.0,True,1308.0,0.000864,False,"852,33,1045,47",qwen2.5-vl,True,7101.0,7112.0,-0.155,False,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,0.973,9.34,0.0,False,0.244,0.783,True,0.99847,True,False,False,False,False,0.99847
we00054__m6_remove_loadbearing_wrapper__default,we00054,webcode2m,m6_remove_loadbearing_wrapper,M6,structure,breaking,default,False,ok,1.0,101,,,unwrapped load-bearing <div id=101 556x33>,True,1.0,True,54908.0,0.035688,True,"0,1154,1279,1177",qwen2.5-vl,True,7101.0,7083.0,0.253,True,1183.0,1202.0,19.0,False,1.0,True,36.0,36.0,0.9504,233.54,0.0,False,13.592,61.728,False,0.9769,True,False,False,False,False,0.97644
we00054__m7_swap_siblings__default,we00054,webcode2m,m7_swap_siblings,M7,structure,breaking,default,False,ok,1.0,94;42,,,swapped siblings id=94<->id=42 under id=41,True,1.0,True,282184.0,0.182497,True,"0,80,1279,1167",qwen2.5-vl,True,7101.0,7101.0,0.0,False,1183.0,1208.0,25.0,False,0.969,False,36.0,36.0,0.2228,1054.33,0.0,False,0.044,2.634,True,0.67548,True,False,False,False,False,0.68223
we00054__m8_delete_image__default,we00054,webcode2m,m8_delete_image,M8,structure,breaking,default,True,ok,1.0,56,,,deleted <img id=56 234x234>,True,1.0,True,254535.0,0.168094,True,"0,195,1279,1158",qwen2.5-vl,True,7101.0,7001.0,1.408,True,1183.0,1159.0,24.0,False,1.0,True,36.0,35.0,0.4073,233.54,1.0,False,19.854,62.967,False,0.76906,True,False,False,False,False,0.76884
we00054__s1_strip_comments__default,we00054,webcode2m,s1_strip_comments,S1,source,safe,default,False,na,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we00054__s2_reorder_attributes__default,we00054,webcode2m,s2_reorder_attributes,S2,source,safe,default,False,ok,1.0,,,,reordered attrs on 135 tags,False,0.0,True,0.0,0.0,False,,qwen2.5-vl,True,7101.0,7101.0,0.0,False,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,False,True,False,1.0
we00054__s3_requote_attributes__default,we00054,webcode2m,s3_requote_attributes,S3,source,safe,default,False,ok,1.0,,,,unquoted attrs in 192 tags,False,0.0,True,0.0,0.0,False,,qwen2.5-vl,True,7101.0,6928.0,2.436,True,1183.0,1183.0,0.0,True,1.0,True,36.0,36.0,1.0,0.0,0.0,True,0.0,0.0,True,1.0,True,True,True,True,True,1.0
